name,team,position,age,gamesPlayed,mpg,min%,usg%,to%,fta,ft%,2pa,2p%,3pa,3p%,efg%,ts%,ppg,rpg,trb%,apg,ast%,spg,bpg,topg,vi,ortg,drtg
Shaedon Sharpe,Por,G,19.68,50,19.8,41.3,16.8,9.2,44,0.636,195,0.559,133,0.346,0.543,0.553,7.7,2.4,7.1,0.5,3.7,0.34,0.2,0.7,4.2,108,111.8
Pascal Siakam,Tor,F,28.84,43,37.7,78.6,28,10.4,331,0.767,634,0.513,175,0.314,0.504,0.56,24.9,8,12,6.2,26.7,0.72,0.58,2.58,11.4,117.6,109.3
Ben Simmons,Bro,G-F,26.54,37,27.3,56.8,14.7,26.5,56,0.446,218,0.569,1,0,0.566,0.56,7.4,6.5,13.6,6.4,30.8,1.43,0.54,2.38,9.9,112.2,100.9
Marko Simonovic,Chi,C,23.3,2,1.4,2.9,15.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
Anfernee Simons,Por,G,23.66,49,35.8,74.5,25.2,10.9,143,0.902,377,0.541,463,0.378,0.555,0.588,21.7,2.8,4.4,4,18,0.67,0.24,2.24,7,114.5,113.8
Jericho Sims,Nyk,C,24.29,39,14.8,30.9,8,16.6,10,0.8,86,0.814,0,0,0.814,0.819,3.8,4.7,17.1,0.4,4.1,0.26,0.64,0.46,5.2,152.2,103.2
Marcus Smart,Bos,G,28.91,41,32.5,67.6,17,18.7,73,0.767,170,0.535,219,0.333,0.515,0.543,11.1,3.4,5.8,7.2,29.9,1.29,0.41,2.37,8,113.7,106.9
Dennis Smith Jr.,Cha,G,25.19,30,25.3,52.7,16.6,14.2,40,0.75,187,0.46,56,0.196,0.422,0.451,7.8,2.8,5.9,4.7,25.3,1.37,0.4,1.43,7.4,100.4,109.6
Jabari Smith Jr.,Hou,F,19.73,48,29.5,61.4,18.5,10.5,110,0.782,261,0.471,259,0.301,0.462,0.498,11.8,7,12.8,1,5.1,0.54,1,1.4,5.9,102.3,108.4
Dru Smith,Mia,G,25.09,5,13.4,27.9,9.9,6.7,0,0,8,0.5,6,0.167,0.393,0.393,2.2,1.8,7.7,1,10.1,0.8,0.6,0.2,4.7,94.3,95.8
Ish Smith,Den,G,34.58,22,8.5,17.7,19.8,25.9,2,0.5,56,0.429,6,0.333,0.435,0.437,2.5,0.8,5.3,1.7,25.9,0.27,0.27,1,7.1,85.4,111.6
Jalen Smith,Ind,F-C,22.88,47,19.1,39.8,21.4,12.1,98,0.765,217,0.585,146,0.281,0.519,0.556,9.6,5.8,16.6,1,8,0.36,0.81,1.19,8,110.5,105.7
Jeremy Sochan,San,F,19.71,45,25.8,53.8,18.2,15.1,84,0.679,299,0.518,97,0.268,0.49,0.514,9.9,4.8,10.5,2.5,13,0.76,0.42,1.71,7.6,103.4,113.5
Jaden Springer,Phi,G,20.36,7,3.7,7.8,25,6.8,4,0.75,12,0.583,0,0,0.583,0.618,2.4,1,15.6,0.1,6.6,0.29,0.29,0.14,6.7,N/A,N/A
Lamar Stevens,Cle,F,25.57,36,19.4,40.3,13.5,9.1,36,0.694,118,0.517,57,0.316,0.503,0.527,5.6,3.3,10,0.6,4.2,0.36,0.39,0.53,4.6,107,106.2
Isaiah Stewart,Det,F-C,21.7,41,28.1,58.5,17.2,12.4,125,0.744,195,0.549,160,0.325,0.521,0.565,11.3,7.9,15.5,1.2,6.3,0.41,0.71,1.41,6.8,113.9,110.9
Max Strus,Mia,G-F,26.85,50,30,62.4,18.3,7.9,63,0.889,167,0.539,379,0.338,0.516,0.54,12.4,3.6,7,2.2,10.8,0.7,0.18,0.98,6.2,110,108.2
Jalen Suggs,Orl,G,21.67,28,22.8,47.5,20.8,18.3,63,0.698,117,0.521,106,0.283,0.475,0.511,9.1,2.8,6.9,3.8,23.9,1.25,0.43,2,8.1,102.3,106.1
