name,team,position,age,gamesPlayed,mpg,min%,usg%,to%,fta,ft%,2pa,2p%,3pa,3p%,efg%,ts%,ppg,rpg,trb%,apg,ast%,spg,bpg,topg,vi,ortg,drtg
Precious Achiuwa,Tor,F,23.37,29,22.1,46,20.1,11.2,78,0.718,174,0.569,60,0.25,0.519,0.557,10.3,6.4,16.3,1,6.7,0.62,0.69,1.17,7.3,113.7,107.9
Steven Adams,Mem,C,29.54,42,27,56.2,14.3,19.8,129,0.364,262,0.599,1,0,0.597,0.564,8.6,11.5,22.4,2.3,11.2,0.86,1.1,1.88,9,116.7,102.3
Bam Adebayo,Mia,C-F,25.55,47,35.1,73.1,26.1,12.6,250,0.788,737,0.545,10,0.1,0.54,0.586,21.4,10,16.4,3.1,15.6,1.15,0.81,2.62,9.9,114.7,103.1
Ochai Agbaji,Uta,G,22.79,30,13,27,11.8,8.3,16,0.625,40,0.625,53,0.377,0.591,0.6,4,1.6,6.9,0.5,4.7,0.13,0.13,0.3,4.5,122.9,111.8
Santi Aldama,Mem,F-C,22.06,48,21.7,45.2,15.3,7.9,90,0.711,156,0.609,166,0.367,0.579,0.604,9.1,4.6,11,1.2,7.3,0.67,0.69,0.65,6.8,124.4,104.3
Nickeil Alexander-Walker,Uta,G,24.42,35,14.9,31.1,18.4,19.2,39,0.692,81,0.593,87,0.402,0.598,0.616,6.5,1.7,6.2,2.2,20.3,0.69,0.4,1.26,7.8,112.7,107.9
Grayson Allen,Mil,G,27.32,47,27.4,57.1,14.9,11.6,95,0.905,139,0.511,224,0.402,0.567,0.615,10.6,3.5,6.7,2.6,12.9,0.87,0.21,1.13,6.7,124.4,109.6
Jarrett Allen,Cle,C,24.79,46,33,68.8,16.3,12.3,157,0.713,409,0.645,8,0.125,0.637,0.661,14,9.7,17.3,1.6,7.4,0.83,1.17,1.48,7.3,129.5,104.5
Jose Alvarado,Nor,G,24.81,51,22,45.9,19.8,13.1,75,0.813,206,0.476,217,0.341,0.494,0.525,9.4,2.4,6.2,3.2,20.1,1.18,0.16,1.35,7.6,107,105.6
Kyle Anderson,Min,F-G,29.37,43,27,56.3,13.7,16.6,92,0.75,209,0.517,62,0.435,0.548,0.588,8.5,4.8,10,4.2,20.1,1.19,0.88,1.44,8.2,118.8,107.2
Giannis Antetokounmpo,Mil,F,28.16,40,33.4,69.7,38.6,13.2,528,0.646,718,0.579,120,0.275,0.555,0.594,31.8,12.2,18.9,5.2,29.9,0.8,0.83,4.08,15.1,114.9,99.3
Thanasis Antetokounmpo,Mil,F,30.54,22,4.2,8.7,12.1,26.3,6,0.5,13,0.308,4,0,0.235,0.28,0.5,1,12.4,0.2,5.3,0.09,0.14,0.32,4.4,67.2,102.6
Cole Anthony,Orl,G,22.72,34,25.4,53,21,12.4,99,0.899,208,0.49,116,0.328,0.491,0.554,12,4.6,10.2,4,23.4,0.65,0.53,1.53,9.5,113.8,106.9
O.G. Anunoby,Tor,F,25.55,45,35.8,74.6,20.4,12.7,134,0.821,382,0.513,235,0.366,0.527,0.562,16.9,5.5,8.7,2,8.3,2.07,0.78,2.18,6.4,108.8,109
Ryan Arcidiacono,Nyk,G,28.86,11,2.4,5,9.7,16.7,0,0,2,0,3,0.333,0.3,0.3,0.3,0.4,8.1,0.2,9.4,0.18,0,0.09,4.8,N/A,N/A
Deni Avdija,Was,F,22.08,48,26.2,54.5,15.7,15.1,98,0.755,204,0.544,140,0.286,0.497,0.537,8.7,6.3,13.1,2.5,12.8,0.83,0.54,1.44,7.9,107.7,103
Deandre Ayton,Pho,C,24.53,44,29.8,62.1,24.2,12.1,130,0.715,573,0.585,23,0.304,0.58,0.6,17.8,10.1,18.8,2.1,11.6,0.48,0.66,2.05,9.7,115.7,104.8
Udoka Azubuike,Uta,C-F,23.38,18,3.9,8.2,14,16.9,6,0.333,17,0.824,0,0,0.824,0.764,1.7,1.5,21,0.3,10.4,0.11,0.22,0.22,9.4,N/A,N/A
Marvin Bagley III,Det,F,23.89,25,21.3,44.4,19.5,8.9,52,0.769,168,0.589,33,0.273,0.56,0.592,10.6,5.9,15.4,0.6,4.2,0.52,0.72,0.88,6.3,119.4,110.9
Patrick Baldwin Jr.,Gol,F,20.21,15,8.5,17.6,23.6,9.8,6,0.667,13,0.385,49,0.449,0.613,0.619,5.3,1.4,9,0.2,3.5,0.4,0.07,0.47,5.4,105.2,110.7
LaMelo Ball,Cha,G,21.45,25,34.6,72.1,30.2,13.2,89,0.865,234,0.449,271,0.358,0.496,0.531,23.1,5.7,8.7,8.3,38.1,1.12,0.44,3.32,11.9,108.9,109
Mo Bamba,Orl,C,24.73,39,16.9,35.3,16.3,8.5,51,0.686,104,0.596,101,0.396,0.595,0.613,7.2,4.6,15.5,1,9,0.28,0.95,0.54,7.6,125.7,103.3
Paolo Banchero,Orl,F,20.23,45,33.7,70.3,27.8,12.8,348,0.759,501,0.477,196,0.306,0.472,0.542,20.5,6.5,10.9,3.6,17.1,1.02,0.49,2.78,9.3,106.8,109.8
Desmond Bane,Mem,G,24.61,29,30.9,64.3,26.8,11,113,0.894,267,0.487,208,0.418,0.548,0.593,21.4,4.9,8.3,4.1,20.3,0.83,0.31,2.24,9.8,117.7,106.3
Dalano Banton,Tor,F,23.24,23,10,20.9,23.4,10.3,17,0.824,62,0.5,44,0.295,0.476,0.507,5,1.4,8.1,1.2,17.7,0.52,0.52,0.57,8.1,106.7,106.6
Dominick Barlow,San,F,19.69,4,6.4,13.3,14.2,0,4,1,4,0.75,3,0,0.429,0.571,2.5,0.8,6.5,0.8,15.1,0.25,0,0,7.3,142.7,113.4
Harrison Barnes,Sac,F,30.68,50,32.8,68.3,17.2,9.5,254,0.823,256,0.563,229,0.384,0.569,0.638,15.2,4.8,8.4,1.6,6.6,0.84,0.12,1.26,6,124.5,113.7
Scottie Barnes,Tor,F,21.51,50,34.9,72.8,20.5,12,167,0.772,521,0.507,147,0.293,0.492,0.53,15.7,7.2,11.7,4.9,20.7,1.04,0.86,2.02,9.4,113.9,112.6
RJ Barrett,Nyk,F-G,22.64,46,34.6,72,25.8,10.8,255,0.757,498,0.48,250,0.34,0.49,0.538,20.1,5.4,8.3,2.8,12.5,0.48,0.17,2.26,7.8,108.3,110.9
Will Barton,Was,G,32.07,38,19.7,41.1,19,12.8,41,0.805,138,0.384,131,0.374,0.47,0.498,7.5,2.7,7.5,2.5,17.3,0.42,0.26,1.11,7.5,101.4,112.6
Charles Bassey,San,C-F,22.26,24,13.6,28.4,13.8,25.8,24,0.667,64,0.703,6,0.333,0.686,0.695,4.7,5.2,21.3,1.2,11.8,0.33,0.92,1.17,9.1,120.5,104.7
Keita Bates-Diop,San,F,27.03,38,18.5,38.6,16.3,9.4,60,0.783,163,0.54,60,0.35,0.536,0.573,7.5,3.1,9.4,0.9,6.7,0.68,0.21,0.68,6,116.4,119.1
Nicolas Batum,Lac,G-F,34.14,51,21.9,45.7,11.9,12.1,36,0.667,48,0.542,204,0.392,0.579,0.59,6.2,4.3,10.7,1.5,9,0.61,0.71,0.73,6.2,118.6,105.6
Darius Bazley,Okc,F-G,22.64,34,15.7,32.7,15.9,10.3,65,0.554,112,0.464,42,0.357,0.484,0.507,5.4,3.5,11.9,0.9,7.8,0.5,0.85,0.62,6.6,106.5,109.6
Bradley Beal,Was,G,29.6,30,32.8,68.4,27.5,12.8,139,0.849,357,0.566,127,0.362,0.56,0.605,22,3.5,5.8,5.2,25.7,0.83,0.63,2.67,9,116.4,113.2
Malik Beasley,Uta,G,26.18,53,27,56.2,21.4,7.8,44,0.841,194,0.49,456,0.362,0.527,0.539,13.6,3.5,7.2,1.7,9.1,0.81,0.15,1.08,6.4,108.5,114.8
MarJon Beauchamp,Mil,F,22.31,34,14.9,31,18.8,14.5,25,0.72,76,0.5,107,0.327,0.495,0.513,5.9,2.4,8.3,0.7,6.4,0.44,0.06,0.97,5.8,99.9,104.4
Davis Bertans,Dal,F,30.22,33,10.8,22.4,15.7,7.4,12,0.833,14,0.714,94,0.362,0.565,0.583,4,0.9,5,0.4,5,0.21,0.09,0.27,4.2,111.9,108.7
Patrick Beverley,Lal,G,34.56,42,27,56.1,10.8,13.2,43,0.814,79,0.481,152,0.342,0.502,0.534,6.4,3.2,6.4,2.5,11.5,0.88,0.52,0.9,5.5,110.5,108.1
Saddiq Bey,Det,F,23.82,48,28.8,60,21.1,7.4,191,0.853,289,0.457,268,0.343,0.485,0.548,14.6,4.5,8.7,1.5,8.1,0.96,0.21,1.06,6.4,113.6,116.3
Khem Birch,Tor,C,30.35,20,8.1,16.9,11.1,19,5,0.8,30,0.6,2,0.5,0.609,0.629,2.2,1.3,8.7,0.4,5.9,0.25,0.25,0.4,5.2,113.1,103.5
Goga Bitadze,Ind,C-F,23.54,21,9.6,20.1,15.4,16.1,24,0.458,38,0.605,14,0.286,0.558,0.551,3.3,2.3,13.3,0.9,12.4,0.43,0.48,0.57,7.9,115.2,101.8
Bismack Biyombo,Pho,C,30.43,43,14.2,29.5,13.7,20.5,49,0.327,134,0.56,0,0,0.56,0.534,3.9,4.1,16.1,1,9.2,0.3,1.33,0.93,7.1,101.5,100.7
Buddy Boeheim,Det,F,23.23,1,1,2.1,0,N/A,0,0,0,0,0,0,N/A,N/A,0,0,0,0,0,0,0,0,0,N/A,N/A
Bojan Bogdanovic,Det,F,33.8,49,31.6,65.8,25.7,11.6,253,0.881,432,0.535,291,0.416,0.571,0.628,21.4,3.7,6.4,2.7,14,0.61,0.1,2.24,7.6,118.6,117.8
Bogdan Bogdanovic,Atl,G,30.46,27,30.5,63.6,21.1,8.3,41,0.78,153,0.51,206,0.374,0.539,0.556,15.5,3.3,5.8,3.1,14,0.81,0.26,1.26,7.1,111.2,114.3
Bol Bol,Orl,C-F,23.21,47,24.2,50.5,18.6,17.8,85,0.741,288,0.639,77,0.338,0.611,0.632,10.8,6.6,15.4,0.9,5.6,0.47,1.47,1.85,6.6,109.2,110.3
Leandro Bolmaro,Uta,F,22.39,13,5,10.4,16.3,28,0,0,14,0.214,4,0,0.167,0.167,0.5,0.4,4.3,0.5,13.1,0.15,0.08,0.54,3.7,50.8,109.2
Devin Booker,Pho,G,26.26,29,34.5,72,31.6,9.4,180,0.85,412,0.524,181,0.37,0.534,0.585,27.1,4.6,7.4,5.6,27.9,0.9,0.38,2.41,10.3,118,110.1
Brandon Boston Jr.,Lac,G,21.18,19,11.5,23.9,26.9,8.2,34,0.765,80,0.388,28,0.393,0.44,0.492,6.4,1.4,6.9,1,13.7,0.42,0,0.58,7.2,102.9,107.8
Chris Boucher,Tor,F-C,30.06,47,20.4,42.5,18.1,5.1,127,0.732,213,0.573,118,0.314,0.536,0.579,9.5,5.7,15.7,0.4,3.2,0.68,0.72,0.45,5.5,126.2,107.5
James Bouknight,Cha,G,22.37,26,13.6,28.3,17.7,12.6,22,0.682,58,0.414,64,0.25,0.393,0.421,4.3,2,7.6,1.1,10.6,0.5,0.15,0.73,6.2,86.8,111
Tony Bradley,Chi,C-F,25.07,10,2.6,5.5,16.4,10.1,2,1,4,0.5,4,0.5,0.625,0.676,1.2,1,21.3,0.1,5.2,0.1,0,0.1,7.6,N/A,N/A
Malaki Branham,San,F,19.73,38,20,41.7,17.1,11.8,33,0.788,138,0.543,124,0.29,0.492,0.514,7.5,1.7,4.8,1.8,12.1,0.47,0.11,0.97,5.7,102.5,118.5
Christian Braun,Den,G,21.8,46,13.7,28.6,12.1,10.8,27,0.593,98,0.531,47,0.34,0.524,0.535,3.7,2,8.6,0.6,5.1,0.3,0.22,0.41,4.8,110,110.8
Mikal Bridges,Pho,F,26.43,53,36.4,75.9,18.9,8.5,159,0.899,466,0.498,245,0.392,0.529,0.573,16.9,4.4,6.7,3.6,14.5,1.19,0.83,1.38,7.1,118.9,112.7
Oshae Brissett,Ind,F-G,24.62,45,16.4,34.2,14.8,8,86,0.698,95,0.474,109,0.33,0.485,0.533,5.7,3.4,11.4,0.6,4.5,0.6,0.18,0.47,5.5,112.4,110.8
Malcolm Brogdon,Bos,G,30.14,44,24.9,51.9,23.1,11.7,124,0.879,265,0.498,193,0.451,0.573,0.618,14.4,4.3,9.4,3.7,22.6,0.61,0.27,1.55,9.8,122.5,108.8
Dillon Brooks,Mem,G-F,27.03,47,30.8,64.1,23,8.9,110,0.782,414,0.449,283,0.314,0.458,0.486,15.4,3.4,5.8,2.7,12.1,0.83,0.17,1.55,6.8,102,104.6
Greg Brown III,Por,F,21.42,15,6,12.4,18.2,16.1,12,0.417,20,0.5,6,0.167,0.442,0.448,1.9,1.2,11.6,0.1,1.6,0.27,0.33,0.4,4.1,80.2,100.7
Troy Brown Jr.,Lal,G-F,23.52,46,24.1,50.3,12.3,10.2,25,0.96,117,0.53,161,0.348,0.525,0.547,6.9,4.2,9.3,1,5.3,0.74,0.17,0.72,5.1,109.3,111.5
Bruce Brown,Den,G-F,26.47,50,28.8,60,17,14.9,68,0.721,279,0.548,170,0.394,0.565,0.58,11.1,4.1,8.3,3.6,16.5,1.06,0.7,1.68,7.6,113.2,109
Jaylen Brown,Bos,G-F,26.28,46,35.9,74.7,31.5,11.9,253,0.783,591,0.582,350,0.337,0.554,0.589,27,7.1,10.8,3.2,15.4,1.09,0.48,3.09,9.5,110.4,106.3
Kendall Brown,Ind,G,19.73,6,6.7,14,10.2,20.2,2,0.5,6,0.667,1,0,0.571,0.571,1.5,1,8.2,0.5,9.9,0.67,0,0.33,5.4,109.2,93.6
Moses Brown,Lac,C,23.31,34,8.5,17.6,21.5,9.9,72,0.458,96,0.635,0,0,0.635,0.607,4.6,4.1,26.7,0.1,2.2,0.09,0.41,0.41,5.8,125.4,98.9
Sterling Brown,Lal,G-F,27.98,4,6.1,12.7,6.9,0,0,0,2,0,2,0,0,0,0,2,17.6,0.5,9.2,0.75,0,0,0,76.8,93.5
Jalen Brunson,Nyk,G,26.42,49,34.6,72.1,27.1,9.5,265,0.853,642,0.494,218,0.394,0.519,0.572,22.8,3.5,5.4,6.2,29.4,0.96,0.29,2.08,9.1,121.3,111.8
Thomas Bryant,Lal,C-F,25.51,38,22.1,46.1,18.4,7.7,104,0.75,245,0.69,47,0.447,0.687,0.709,12.6,7,17,0.7,5,0.37,0.55,0.74,7.2,137.8,106
Reggie Bullock,Dal,G-F,31.89,50,29.5,61.5,9.8,6.7,29,0.655,46,0.522,236,0.364,0.543,0.551,6.5,3.4,6.8,1.2,5.7,0.7,0.22,0.42,4,113.6,111.1
Alec Burks,Det,G,31.54,39,22.2,46.3,22.7,9.2,154,0.812,181,0.464,175,0.446,0.565,0.622,13.5,3.1,7.7,2.2,15.7,0.74,0.13,1.1,8.1,123.4,112.8
John Butler Jr.,Por,F,20.17,6,3.1,6.4,9.5,0,0,0,1,1,3,0,0.25,0.25,0.3,0.3,6.3,0.2,6.9,0,0.17,0,3.4,N/A,N/A
Jimmy Butler,Mia,F,33.39,37,33.9,70.6,25,8.8,303,0.838,446,0.556,70,0.3,0.542,0.626,22,6,10.2,4.9,24.4,2.14,0.35,1.7,10.2,130.4,108
Jamal Cain,Mia,F,23.87,13,13.9,29,14.4,6.8,16,0.75,37,0.622,11,0.182,0.542,0.581,4.9,2.9,12.1,0.6,6.6,0.62,0,0.31,5.9,123.6,103.8
Kentavious Caldwell-Pope,Den,G,29.96,49,31.7,66,14.3,10.8,75,0.827,205,0.473,218,0.463,0.587,0.613,11.4,3,5.5,2.2,9.1,1.41,0.37,1.12,5.3,118.7,111.4
Facundo Campazzo,Dal,G,31.87,8,6.5,13.6,14.7,17.8,2,0.5,2,0,11,0.273,0.346,0.36,1.3,0.3,2.3,1.1,23.1,0.75,0,0.38,4.6,86.5,109.6
Vlatko Cancar,Den,F,25.82,36,14.2,29.5,13.7,15.5,19,0.895,62,0.532,66,0.455,0.609,0.634,4.8,2.1,8.6,1.2,11,0.36,0.22,0.69,6.5,119.3,105.9
Clint Capela,Atl,C,28.71,36,27,56.2,16.1,7.9,68,0.618,308,0.64,1,0,0.638,0.643,12.1,11.4,22.9,0.8,4.1,0.72,1.25,0.81,7.1,136.4,106.5
Vernon Carey Jr.,Was,F-C,21.94,9,2.6,5.5,16.3,22.5,2,1,6,0.167,0,0,0.167,0.291,0.4,0.9,18.6,0.2,10.3,0.22,0.22,0.22,6.4,N/A,N/A
Wendell Carter Jr.,Orl,C-F,23.8,33,30,62.6,20.8,15.1,119,0.765,238,0.601,114,0.342,0.572,0.611,15,8.7,16.5,2.6,13.6,0.36,0.64,2.18,9.3,116.3,106
Jevon Carter,Mil,G,27.39,51,23.1,48.1,14.4,14.9,27,0.815,144,0.438,188,0.404,0.533,0.547,7.4,2.5,5.7,2.6,15.5,1.08,0.47,1.18,6.3,109.9,105.3
Alex Caruso,Chi,G,28.93,44,24.5,51,11,21,52,0.769,97,0.495,95,0.4,0.547,0.582,5.7,3,6.9,3.3,16.9,1.73,0.7,1.3,6.3,113.8,104.7
Justin Champagnie,Tor,G-F,21.6,3,3.6,7.6,11.7,0,0,0,3,1,0,0,1,1,2,1.3,20.8,0.3,15.9,0,0,0,10.2,N/A,N/A
Julian Champagnie,Phi,F,21.6,2,3.4,7,13.2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,N/A,N/A
Kennedy Chandler,Mem,G,20.38,23,9.6,19.9,16.1,18.4,11,0.455,52,0.462,14,0.143,0.409,0.416,2.6,1.3,7.1,2,26.7,0.43,0.22,0.7,7.9,96.2,108.4
Max Christie,Lal,G,19.98,33,14.5,30.3,10.2,8.6,14,0.857,39,0.436,61,0.426,0.56,0.584,3.8,2.2,8.1,0.5,4.4,0.21,0.18,0.3,4.4,114.4,111.8
Josh Christopher,Hou,G,21.15,33,8.6,17.8,22.5,16.9,25,0.76,83,0.53,34,0.147,0.44,0.477,3.7,1.2,7.5,0.7,12.5,0.24,0.18,0.79,6.8,92.5,114.5
Brandon Clarke,Mem,F,26.37,45,19.6,40.9,17.9,12.6,122,0.73,280,0.675,6,0.167,0.666,0.692,10.4,5.5,14.7,1.2,8.9,0.64,0.71,1.09,8.4,130.6,99
Jordan Clarkson,Uta,G,30.66,52,32.5,67.7,27.7,13.7,200,0.825,472,0.534,398,0.352,0.531,0.568,20.9,3.9,6.7,4.3,20.5,0.56,0.21,2.92,8.7,110.7,115.2
Nic Claxton,Bro,F-C,23.8,48,29.4,61.2,15.8,12,155,0.477,370,0.743,2,0,0.739,0.709,13,8.9,17.2,1.6,7.9,0.71,2.63,1.25,7.8,135.2,105.3
Amir Coffey,Lac,G-F,25.63,37,14.5,30.3,13.4,9.1,55,0.818,91,0.407,35,0.286,0.413,0.496,4,1.3,4.9,1.3,12,0.19,0.08,0.41,5.2,111.7,109.9
John Collins,Atl,F-C,25.36,44,31.4,65.4,17.2,10.5,111,0.784,311,0.63,143,0.259,0.554,0.587,13.4,7.6,13,1.3,5.4,0.68,1.25,1.34,6.5,113.2,105.3
Zach Collins,San,F-C,25.21,41,20.6,42.9,19.7,19.4,88,0.739,222,0.595,63,0.365,0.584,0.615,9.7,5.8,15.6,2.5,16.8,0.37,0.71,1.9,10.1,113.8,106.7
Mike Conley,Uta,G,35.31,41,29.6,61.7,16.1,14.4,89,0.82,153,0.444,205,0.361,0.5,0.543,10.5,2.5,4.7,7.6,33.8,1.05,0.24,1.63,7.9,123.2,113.1
Pat Connaughton,Mil,G,30.07,35,24.9,51.9,14.7,6.5,27,0.593,65,0.492,209,0.349,0.516,0.523,8.5,4.8,10,1.3,6.8,0.69,0.11,0.57,6,110.8,109.4
Robert Covington,Lac,F,32.14,33,16.4,34.1,15.9,11.7,34,0.735,63,0.524,95,0.337,0.513,0.541,5.7,3.9,13.2,1.3,11.2,0.7,0.79,0.7,7.5,111.4,101.5
Torrey Craig,Pho,F,32.12,50,25.5,53.1,13.4,11.8,33,0.788,170,0.524,168,0.393,0.556,0.57,8,5.7,12.4,1.5,8.1,0.74,0.62,0.94,6.4,117.9,107.1
Jarrett Culver,Atl,G-F,23.95,10,13.7,28.5,17.3,12.6,13,0.692,31,0.516,12,0.083,0.407,0.452,4.4,3.8,15,0.6,5.6,0.6,0.2,0.7,6.3,96.1,104.8
Cade Cunningham,Det,G,21.36,12,33.4,69.5,29.7,13.8,43,0.837,163,0.466,61,0.279,0.453,0.492,19.9,6.2,10.2,6,30.3,0.83,0.58,3.25,10.8,100.2,112.8
Seth Curry,Bro,G,32.45,38,23.3,48.5,19.2,10.8,35,0.971,154,0.513,170,0.418,0.573,0.597,10.7,2,4.9,2.1,12.6,0.63,0.18,1.08,6.1,113,111.8
Stephen Curry,Gol,G,34.89,36,34.8,72.6,30.8,12.5,198,0.919,306,0.578,417,0.427,0.614,0.66,29.7,6.4,10,6.4,30.9,1.03,0.42,3.22,12.3,123.7,111.1
Dyson Daniels,Nor,G,19.88,39,19.9,41.5,11.5,20.4,29,0.621,95,0.516,60,0.333,0.51,0.525,4.5,3.5,10,2.5,15.9,0.87,0.26,1.1,6.8,106.4,104.8
Anthony Davis,Lal,F-C,29.9,28,33.3,69.4,28.6,9,223,0.825,438,0.607,38,0.289,0.593,0.652,26.8,11.9,19.1,2.6,13.1,1.29,2.04,2.04,11.3,128.8,105.1
Johnny Davis,Was,G,20.93,10,5,10.5,13.2,6.5,3,1,10,0.4,3,0,0.308,0.384,1.1,0.7,7.6,0.2,5,0,0.1,0.1,4.3,87.5,93.6
JD Davison,Bos,G,20.34,5,2.3,4.8,22.5,16.7,0,0,3,0.333,2,0,0.2,0.2,0.4,0.4,9.5,0.2,11.1,0.2,0,0.2,5.5,N/A,N/A
Terence Davis,Sac,G,25.72,37,12.8,26.6,22,12.8,26,0.885,69,0.565,131,0.344,0.533,0.558,6.4,2.3,10.5,1.2,13.2,0.76,0.24,0.84,8.1,107.1,101
Dewayne Dedmon,Mia,C,33.48,29,11.6,24.3,21.3,11.6,44,0.727,89,0.596,36,0.306,0.556,0.592,5.9,3.7,18.3,0.5,7.1,0.21,0.45,0.66,7.6,115.2,93.1
Matthew Dellavedova,Sac,G,32.4,20,5.8,12,12.3,18,3,0.333,14,0.357,12,0.417,0.481,0.476,1.3,0.4,3.5,1.2,25.6,0.3,0,0.3,5.9,108.7,107
DeMar DeRozan,Chi,G-F,33.49,47,36.2,75.4,29,8.9,368,0.886,797,0.528,70,0.314,0.524,0.6,26.3,4.9,7.6,5,22.1,1.02,0.49,2.13,9.5,120.2,109.7
Moussa Diabate,Lac,F,21.03,14,11.5,24,14.6,14.8,16,0.625,37,0.514,2,0.5,0.526,0.554,3.6,3.1,15.1,0.2,2.6,0.36,0.36,0.57,4.5,119.8,108.6
Mamadi Diakite,Cle,F,26.03,14,6.6,13.6,15.2,19.4,0,0,11,0.636,14,0.286,0.52,0.52,1.9,0.8,7.1,0.1,3,0.14,0.36,0.43,3.2,89.1,101.9
Hamidou Diallo,Det,G,24.51,43,16.7,34.8,20.7,14.2,115,0.583,234,0.598,18,0.278,0.585,0.598,8.4,3.5,11.5,1,9.4,0.93,0.26,1.16,7.4,111.4,106.5
Gorgui Dieng,San,C,33.04,17,9.8,20.3,17.4,20.1,4,0.75,18,0.667,36,0.278,0.5,0.511,3.4,2.8,16.1,1.6,21.3,0.06,0.41,0.82,10.1,106.4,108.2
Ousmane Dieng,Okc,F,19.7,18,14.6,30.4,12.8,11.1,4,0.25,30,0.6,40,0.275,0.493,0.488,3.9,2.5,9.1,1.3,11.2,0.28,0.33,0.5,6.4,104.3,111.2
Spencer Dinwiddie,Dal,G,29.83,51,34.1,71.1,21.6,10.1,190,0.816,329,0.517,329,0.404,0.562,0.603,17.5,3.1,5.3,5.3,24.7,0.73,0.27,1.63,7.7,122.2,112.9
Donte DiVincenzo,Gol,G,26.01,41,25,52.1,14.6,15.6,37,0.811,93,0.452,193,0.389,0.54,0.561,8.3,4.6,9.9,3.3,17.4,1.29,0.1,1.37,8,113.9,109.1
Luka Doncic,Dal,F-G,23.93,46,36.8,76.6,38.4,11.7,515,0.73,670,0.581,361,0.355,0.564,0.611,33.4,8.9,14.2,8.3,45.6,1.5,0.52,3.63,14.7,121.3,107
Tyler Dorsey,Dal,G,26.97,3,2.8,5.8,27.4,0,0,0,3,1,2,0.5,0.9,0.9,3,0.7,14.2,0,0,0,0,0,0,N/A,N/A
Luguentz Dort,Okc,G,23.79,47,30.3,63.2,20.3,9.7,157,0.758,304,0.447,252,0.357,0.487,0.529,14.1,4.2,7.4,2.3,10.2,1.04,0.26,1.43,6.8,109.4,107.3
Ayo Dosunmu,Chi,G,23.04,48,27.5,57.3,15,14.6,57,0.772,235,0.604,126,0.317,0.56,0.58,9.3,3.1,6.3,2.7,13.1,0.71,0.35,1.38,6.2,111.3,108.9
Devon Dotson,Was,G,23.51,6,8.9,18.4,9.8,25,0,0,6,0,3,0.333,0.167,0.167,0.5,1.7,10.3,1.3,17.7,0.83,0,0.5,4.6,86,96.7
Jeff Dowtin Jr.,Tor,G,25.74,14,6.6,13.8,13,7.1,3,1,21,0.524,4,0.25,0.5,0.532,2,0.9,7.9,0.9,17.9,0.14,0.07,0.14,7.1,124.8,115.2
PJ Dozier,Sac,G-F,26.27,4,2.6,5.4,12.5,0,0,0,1,1,2,0.5,0.833,0.833,1.3,0.5,11.1,0,0,0.75,0,0,0,N/A,N/A
Goran Dragic,Chi,G,36.75,43,16.2,33.8,21.6,13.9,39,0.641,162,0.481,118,0.364,0.509,0.522,7.2,1.5,5.2,2.9,24.9,0.19,0.09,1.12,7.8,105.1,110.8
Andre Drummond,Chi,C,29.48,37,12.8,26.6,20.4,16.8,66,0.53,152,0.618,2,0,0.61,0.609,6,6.5,28.7,0.6,7.1,0.59,0.3,1,8.9,119.5,94.2
Chris Duarte,Ind,G,25.64,31,19.4,40.4,19.4,9.6,59,0.847,107,0.43,120,0.3,0.441,0.494,8.1,2.4,6.9,1.6,11.4,0.45,0.26,0.87,6.5,101.8,113.6
David Duke Jr.,Bro,G,23.31,14,9,18.8,21.1,21.8,8,0.5,37,0.514,6,0,0.442,0.451,3,1.1,6.8,0.9,12.9,0.36,0.07,0.93,6.4,84.9,99.7
Kevin Durant,Bro,F,34.34,39,36,74.9,31.7,13.7,285,0.937,545,0.622,189,0.376,0.607,0.674,29.7,6.7,10.6,5.3,24.7,0.82,1.49,3.49,11.3,122.9,110.3
Jalen Duren,Det,C,19.21,44,24.5,51.1,12.7,15.3,93,0.624,234,0.662,1,0,0.66,0.667,8.4,8.5,19.2,1,5.8,0.66,0.84,1.14,6.8,131.3,108.8
Tari Eason,Hou,F,21.74,51,19.4,40.4,20,11.5,75,0.787,289,0.471,102,0.363,0.49,0.521,8.7,5.7,15.9,1,7.8,1.12,0.61,1.08,7.6,110.4,105.8
Anthony Edwards,Min,G,21.5,54,36.6,76.2,29.4,13.6,297,0.768,641,0.521,405,0.37,0.534,0.572,24.9,6.1,9.3,4.6,19.5,1.7,0.61,3.43,9.7,107.2,109
Kessler Edwards,Bro,F,22.48,13,5.7,11.9,16.2,14.9,2,0.5,11,0.364,11,0.182,0.318,0.328,1.2,1.1,10.8,0.2,3.3,0.23,0.08,0.31,4.5,76.5,114.6
Keon Ellis,Sac,G,23.07,5,2.2,4.7,7.6,0,0,0,0,0,2,0.5,0.75,0.75,0.6,0.4,10.2,0.2,11,0,0,0,6.6,N/A,N/A
Joel Embiid,Phi,C-F,28.89,38,34.8,72.5,37.9,12.4,441,0.855,674,0.567,124,0.355,0.561,0.642,33.5,10.1,16.9,4.2,23,1.11,1.66,3.68,12.9,121.4,102.3
Drew Eubanks,Por,F-C,26,49,19,39.5,10.9,16.8,63,0.667,159,0.723,6,0.5,0.724,0.729,5.7,4.7,14.2,1,7.6,0.53,1.2,0.8,6.3,136.5,106
